Stop_Signs
STREET,X_STREET,DIRECTION,ST_FACING,DIST,CNN,CONCATENAT,MTAB_DATE,MTAB_RESO_TEXT,MTAB_MOTION,STATUS,WORKORDER,INSTALL_DATE,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
CLAY,DIVISADERO,NE,WB,0,26824000,CLAY ST & DIVISADERO ST,,,,,,,POINT (-122.440796 37.789867),102,102,4,6,30
SCOTT,GREEN,NW,SB,0,26870000,SCOTT & GREEN,,,,,,,POINT (-122.44022 37.79553),102,102,4,6,30
SACRAMENTO,SCOTT,SW,EB,0,26820000,SACRAMENTO ST & SCOTT ST,,,,,,,POINT (-122.43895 37.789204),102,102,4,6,30
CLAY,STEINER,SW,EB,0,26636000,CLAY ST & STEINER,,,,,,,POINT (-122.43584 37.790497),102,102,4,6,30
WASHINGTON,WEBSTER,SW,EB,0,26651000,WASHINGTON ST & WEBSTER,,,,,,,POINT (-122.432724 37.791794),102,102,4,6,30
SACRAMENTO,LAGUNA,NE,WB,0,26556000,SACRAMENTO ST & LAGUNA ST,,,,,,,POINT (-122.42908 37.790455),102,102,4,6,30
WEBSTER,BROADWAY,NW,SB,0,26655000,WEBSTER & BROADWAY,,,,,,,POINT (-122.43326 37.794468),102,102,4,6,30
PACIFIC,FILLMORE,SW,EB,0,26657000,PACIFIC & FILLMORE,,,,,,,POINT (-122.43472 37.793343),102,102,4,6,30
WASHINGTON,STEINER,NE,WB,0,26668000,WASHINGTON ST & STEINER,,,,,,,POINT (-122.43601 37.791378),102,102,4,6,30
SACRAMENTO,WEBSTER,SW,EB,0,26647000,SACRAMENTO ST & WEBSTER ST,,,,,,,POINT (-122.43237 37.79004),102,102,4,6,30
SCOTT,BROADWAY,NW,SB,0,26856000,SCOTT & BROADWAY,,,,,,,POINT (-122.43984 37.793644),102,102,4,6,30
CLAY,BUCHANAN,NE,WB,0,26563000,CLAY ST & BUCHANAN,,,,,,,POINT (-122.4309 37.791126),102,102,4,6,30
BROADWAY,BUCHANAN,NE,WB,0,26658000,BROADWAY & BUCHANAN,,,,,,,POINT (-122.43162 37.794678),102,102,4,6,30
SCOTT,SACRAMENTO,SE,NB,0,26820000,SCOTT & SACRAMENTO,,,,,,,POINT (-122.43895 37.789204),102,102,4,6,30
LAGUNA ST,BROADWAY,NW,SB,,26578000,LAGUNA ST & BROADWAY,,,,,,,POINT (-122.42998 37.79489),102,102,4,6,30
BROADWAY,SCOTT,NE,WB,0,26856000,BROADWAY & SCOTT,,,,,,,POINT (-122.43984 37.793644),102,102,4,6,30
WASHINGTON,DIVISADERO,,EB,,26851000,WASHINGTON ST & DIVISADERO,,,,,,,POINT (-122.44097 37.790752),102,102,4,6,30
BROADWAY,WEBSTER,SW,EB,0,26655000,BROADWAY & WEBSTER,,,,,,,POINT (-122.43326 37.794468),102,102,4,6,30
SCOTT,WASHINGTON,,SB,,26852000,SCOTT & WASHINGTON,,,,,,,POINT (-122.43929 37.790966),102,102,4,6,30
GREEN,BRODERICK,NE,WB,0,26878000,GREEN & BRODERICK,,,,,,,POINT (-122.44356 37.7951),102,102,4,6,30
WASHINGTON,BAKER,SW,EB,0,26862000,WASHINGTON ST & BAKER,,,,,,,POINT (-122.44429 37.79032),102,102,8,6,30
PACIFIC,FILLMORE,NE,WB,0,26657000,PACIFIC & FILLMORE,,,,,,,POINT (-122.43472 37.793343),102,102,4,6,30
CLAY,SCOTT,NE,WB,0,26819000,CLAY ST & SCOTT,,,,,,,POINT (-122.439125 37.790077),102,102,4,6,30
BUCHANAN,CLAY,NW,SB,0,26563000,BUCHANAN & CLAY,,,,,,,POINT (-122.4309 37.791126),102,102,4,6,30
FILLMORE,JACKSON,NW,SB,0,26653000,FILLMORE ST & JACKSON ST,,,,,,,POINT (-122.43455 37.792465),102,102,4,6,30
WASHINGTON,WEBSTER,NE,WB,0,26651000,WASHINGTON ST & WEBSTER,,,,,,,POINT (-122.432724 37.791794),102,102,4,6,30
STEINER,JACKSON,NW,SB,0,26669000,STEINER ST & JACKSON ST,,,,I,,,POINT (-122.43619 37.79226),102,102,4,6,30
SCOTT,WASHINGTON,,NB,,26852000,SCOTT & WASHINGTON,,,,,,,POINT (-122.43929 37.790966),102,102,4,6,30
OCTAVIA,PACIFIC,NW,SB,0,26570000,OCTAVIA ST & PACIFIC AVE,,,,,,,POINT (-122.42815 37.79418),102,102,4,6,30
BUCHANAN,WASHINGTON,SE,NB,0,26564000,BUCHANAN & WASHINGTON,,,,,,,POINT (-122.431076 37.792004),102,102,4,6,30
BRODERICK,BROADWAY,SE,NB,,26882000,BRODERICK ST & BROADWAY,,,,,,,POINT (-122.44318 37.79322),102,102,4,6,30
GREEN,WEBSTER,NE,WB,0,26661000,GREEN & WEBSTER,,,,,,,POINT (-122.43365 37.79636),102,102,4,6,13
JACKSON ST,FILLMORE,NE,WB,0,26653000,JACKSON ST & FILLMORE,,,,,,,POINT (-122.43455 37.792465),102,102,4,6,30
BUCHANAN,PACIFIC,SE,NB,0,26577000,BUCHANAN & PACIFIC,,,,,,,POINT (-122.431435 37.793762),102,102,4,6,30
BROADWAY,WEBSTER,NE,WB,0,26655000,BROADWAY & WEBSTER,,,,,,,POINT (-122.43326 37.794468),102,102,4,6,30
BROADWAY,STEINER,NE,WB,0,26671000,BROADWAY & STEINER,,,,,,,POINT (-122.436554 37.794052),102,102,4,6,30
WEBSTER,VALLEJO,,NB,,26662000,WEBSTER & VALLEJO,,,,,,,POINT (-122.43346 37.79543),102,102,4,6,30
BUCHANAN,BROADWAY,SE,NB,0,26658000,BUCHANAN & BROADWAY,,,,,,,POINT (-122.43162 37.794678),102,102,4,6,30
VALLEJO,DIVISADERO,SW,EB,0,26876000,VALLEJO & DIVISADERO,,,,,,,POINT (-122.441696 37.79438),102,102,4,6,30
STEINER,SACRAMENTO,SE,NB,0,26637000,STEINER ST & SACRAMENTO ST,,,,I,,,POINT (-122.43566 37.789623),102,102,4,6,30
JACKSON ST,WEBSTER,,EB,,26650000,JACKSON ST & WEBSTER,,,,,,,POINT (-122.43291 37.792675),102,102,4,6,30
WASHINGTON,BUCHANAN,SW,EB,0,26564000,WASHINGTON ST & BUCHANAN,,,,,,,POINT (-122.431076 37.792004),102,102,4,6,30
PACIFIC,SCOTT,NE,WB,0,26857000,PACIFIC & SCOTT,,,,,,,POINT (-122.43965 37.792717),102,102,4,6,30
SCOTT,VALLEJO,SE,NB,0,26869000,SCOTT & VALLEJO,,,,,,,POINT (-122.44003 37.794594),102,102,4,6,30
STEINER,SACRAMENTO,NW,SB,0,26637000,STEINER ST & SACRAMENTO ST,,,,I,,,POINT (-122.43566 37.789623),102,102,4,6,30
GREEN,GOUGH,NE,WB,0,26573000,GREEN & GOUGH,,,,,,,POINT (-122.42707 37.797195),102,102,4,6,13
VALLEJO,DIVISADERO,NE,WB,0,26876000,VALLEJO & DIVISADERO,,,,,,,POINT (-122.441696 37.79438),102,102,4,6,30
WASHINGTON,BRODERICK,NE,WB,0,26860000,WASHINGTON ST & BRODERICK,,,,,,,POINT (-122.44264 37.790535),102,102,8,6,30
SCOTT,GREEN,SE,NB,0,26870000,SCOTT & GREEN,,,,,,,POINT (-122.44022 37.79553),102,102,4,6,30
BRODERICK,PACIFIC,NW,SB,,26865000,BRODERICK ST & PACIFIC AVE,,,,,,,POINT (-122.44299 37.792294),102,102,8,6,30
PIERCE,PACIFIC,NW,SB,0,26675000,PIERCE ST & PACIFIC AVE,,,,,,,POINT (-122.43801 37.792923),102,102,4,6,30
DIVISADERO,PACIFIC,NW,SB,0,26858000,DIVISADERO ST & PACIFIC AVE,,,,,,,POINT (-122.44132 37.792507),102,102,4,6,30
BROADWAY,BAKER,,EB,,26883000,BROADWAY & BAKER,,,,,,,POINT (-122.44483 37.79301),102,102,4,6,30
GREEN,LAGUNA,NE,WB,0,26580000,GREEN & LAGUNA,,,,,,,POINT (-122.43036 37.79678),102,102,4,6,13
PACIFIC,LAGUNA,SW,EB,0,26569000,PACIFIC & LAGUNA,,,,,,,POINT (-122.429794 37.793972),102,102,4,6,30
SACRAMENTO,SCOTT,NE,WB,0,26820000,SACRAMENTO ST & SCOTT ST,,,,,,,POINT (-122.43895 37.789204),102,102,4,6,30
VALLEJO,LAGUNA,SW,EB,0,26574000,VALLEJO & LAGUNA,,,,,,,POINT (-122.43017 37.79585),102,102,4,6,30
CLAY,PIERCE,NE,WB,0,26645000,CLAY ST & PIERCE,,,,,,,POINT (-122.437485 37.790287),102,102,4,6,30
JACKSON ST,STEINER,NE,EB,0,26669000,JACKSON ST & STEINER,,,,,,,POINT (-122.43619 37.79226),102,102,4,6,30
PACIFIC,DIVISADERO,SW,EB,0,26858000,PACIFIC & DIVISADERO,,,,,,,POINT (-122.44132 37.792507),102,102,4,6,30
PIERCE,BROADWAY,NW,SB,0,26674000,PIERCE ST & BROADWAY,,,,,,,POINT (-122.438194 37.793846),102,102,4,6,30
GREEN,STEINER,NE,WB,0,26679000,GREEN & STEINER,,,,,,,POINT (-122.436935 37.795944),102,102,4,6,13
PACIFIC,BUCHANAN,NE,WB,0,26577000,PACIFIC & BUCHANAN,,,,,,,POINT (-122.431435 37.793762),102,102,4,6,30
VALLEJO,OCTAVIA,SW,EB,,26575000,VALLEJO & OCTAVIA,,,,,,,POINT (-122.42853 37.79606),102,102,4,6,30
LAGUNA ST,GREEN,SE,NB,,26580000,LAGUNA ST & GREEN,,,,,,,POINT (-122.43036 37.79678),102,102,4,6,13
SCOTT,JACKSON,SE,NB,0,26853000,SCOTT & JACKSON,,,,,,,POINT (-122.439476 37.79184),102,102,4,6,30
SACRAMENTO,BAKER,SW,EB,,26828000,SACRAMENTO ST & BAKER ST,,,,,,,POINT (-122.443924 37.788567),102,102,8,6,30
PACIFIC,STEINER,SW,EB,0,26672000,PACIFIC & STEINER,,,,,,,POINT (-122.43637 37.793133),102,102,4,6,30
LYON,WASHINGTON,SE,NB,0,26884000,LYON ST & WASHINGTON ST,,,,I,,,POINT (-122.44592 37.790115),102,102,8,6,30
BUCHANAN,BROADWAY,NW,SB,0,26658000,BUCHANAN & BROADWAY,,,,,,,POINT (-122.43162 37.794678),102,102,4,6,30
SCOTT,PACIFIC,NW,SB,0,26857000,SCOTT & PACIFIC,,,,,,,POINT (-122.43965 37.792717),102,102,4,6,30
VALLEJO,OCTAVIA,NE,WB,,26575000,VALLEJO & OCTAVIA,,,,,,,POINT (-122.42853 37.79606),102,102,4,6,30
LAGUNA ST,SACRAMENTO,SE,NB,0,26556000,LAGUNA ST & SACRAMENTO,,,,,,,POINT (-122.42908 37.790455),102,102,4,6,30
WEBSTER,SACRAMENTO,SE,NB,0,26647000,WEBSTER & SACRAMENTO,,,,,,,POINT (-122.43237 37.79004),102,102,4,6,30
DIVISADERO,JACKSON,SE,NB,,26855000,DIVISADERO ST & JACKSON ST,,,,,,,POINT (-122.44114 37.791626),102,102,4,6,30
FILLMORE,JACKSON,SE,NB,0,26653000,FILLMORE ST & JACKSON ST,,,,,,,POINT (-122.43455 37.792465),102,102,4,6,30
BRODERICK,CLAY,SE,NB,0,26854000,BRODERICK ST & CLAY ST,,,,,,,POINT (-122.44247 37.789658),102,102,8,6,30
LYON,PACIFIC,NW,SB,,26886000,LYON ST & PACIFIC AVE,,,,I,,,POINT (-122.44629 37.791874),102,102,8,6,30
WASHINGTON,BRODERICK,SW,EB,0,26860000,WASHINGTON ST & BRODERICK,,,,,,,POINT (-122.44264 37.790535),102,102,8,6,30
LYON,SACRAMENTO,SE,NB,0,26847000,LYON ST & SACRAMENTO ST,,,,I,,,POINT (-122.44557 37.78836),102,102,8,6,30
WASHINGTON,LYON,SW,EB,0,26884000,WASHINGTON ST & LYON,,,,,,,POINT (-122.44592 37.790115),102,102,8,6,30
BRODERICK,PACIFIC,SE,NB,,26865000,BRODERICK ST & PACIFIC AVE,,,,,,,POINT (-122.44299 37.792294),102,102,8,6,30
CLAY,LYON,SW,EB,,26848000,CLAY ST & LYON,,,,,,,POINT (-122.44575 37.78924),102,102,8,6,30
VALLEJO,PIERCE,SW,EB,,26677000,VALLEJO & PIERCE,,,,,,,POINT (-122.43839 37.794804),102,102,4,6,30
LAGUNA ST,SACRAMENTO,NW,SB,0,26556000,LAGUNA ST & SACRAMENTO,,,,,,,POINT (-122.42908 37.790455),102,102,4,6,30
STEINER,VALLEJO,NW,SB,0,26678000,STEINER ST & VALLEJO ST,,,,I,,,POINT (-122.436745 37.79501),102,102,4,6,30
BROADWAY,BRODERICK,SW,EB,,26882000,BROADWAY & BRODERICK,,,,,,,POINT (-122.44318 37.79322),102,102,4,6,30
JACKSON ST,LYON,SW,EB,,26885000,JACKSON ST & LYON,,,,,,,POINT (-122.446106 37.790993),102,102,8,6,30
BUCHANAN,VALLEJO,SE,NB,0,26579000,BUCHANAN & VALLEJO,,,,,,,POINT (-122.431816 37.79564),102,102,4,6,30
GREEN,FILLMORE,NE,WB,0,26664000,GREEN & FILLMORE,,,,,,,POINT (-122.43529 37.796154),102,102,4,6,13
JACKSON ST,PIERCE,SW,EB,0,26673000,JACKSON ST & PIERCE,,,,,,,POINT (-122.437836 37.79205),102,102,4,6,30
WEBSTER,BROADWAY,SE,NB,0,26655000,WEBSTER & BROADWAY,,,,,,,POINT (-122.43326 37.794468),102,102,4,6,30
LAGUNA,CLAY,SE,SB,,26557000,LAGUNA ST & CLAY ST,,,,I,,,POINT (-122.42926 37.791332),102,102,4,6,30
PACIFIC,LAGUNA,NE,WB,0,26569000,PACIFIC & LAGUNA,,,,,,,POINT (-122.429794 37.793972),102,102,4,6,30
WEBSTER,WASHINGTON,SE,NB,0,26651000,WEBSTER & WASHINGTON,,,,,,,POINT (-122.432724 37.791794),102,102,4,6,30
JACKSON ST,BRODERICK,NE,WB,,26861000,JACKSON ST & BRODERICK,,,,,,,POINT (-122.44281 37.791412),102,102,8,6,30
BAKER,SACRAMENTO,NW,SB,0,26828000,BAKER ST & SACRAMENTO ST,,,,,,,POINT (-122.443924 37.788567),102,102,8,6,30
JACKSON ST,WEBSTER,SW,SB,0,26650000,JACKSON ST & WEBSTER,,,,,,,POINT (-122.43291 37.792675),102,102,4,6,30
LYON,PACIFIC,SE,NB,,26886000,LYON ST & PACIFIC AVE,,,,I,,,POINT (-122.44629 37.791874),102,102,8,6,30
FILLMORE,CLAY,NW,SB,,26648000,FILLMORE ST & CLAY ST,,,,,,,POINT (-122.43419 37.790707),102,102,4,6,30
SACRAMENTO,BAKER,NE,WB,,26828000,SACRAMENTO ST & BAKER ST,,,,,,,POINT (-122.443924 37.788567),102,102,8,6,30
BAKER,JACKSON,NW,SB,0,26863000,BAKER ST & JACKSON ST,,,,,,,POINT (-122.444466 37.791203),102,102,8,6,30
PACIFIC,BAKER,NE,WB,,26881000,PACIFIC & BAKER,,,,,,,POINT (-122.44464 37.792084),102,102,8,6,30
DIVISADERO,BROADWAY,SE,NB,0,26864000,DIVISADERO ST & BROADWAY,,,,,,,POINT (-122.441505 37.79343),102,102,4,6,30
JACKSON ST,BAKER,NE,EB,0,26863000,JACKSON ST & BAKER,,,,,,,POINT (-122.444466 37.791203),102,102,8,6,30
PACIFIC,WEBSTER,NE,WB,0,26656000,PACIFIC & WEBSTER,,,,,,,POINT (-122.433075 37.793552),102,102,4,6,30
JACKSON ST,WEBSTER,NE,WB,0,26650000,JACKSON ST & WEBSTER,,,,,,,POINT (-122.43291 37.792675),102,102,4,6,30
STEINER,GREEN,NW,SB,0,26679000,STEINER ST & GREEN ST,,,,I,,,POINT (-122.436935 37.795944),102,102,4,6,13
STEINER,WASHINGTON,NW,SB,,26668000,STEINER ST & WASHINGTON ST,,,,I,,,POINT (-122.43601 37.791378),102,102,4,6,30
SCOTT,VALLEJO,NW,SB,0,26869000,SCOTT & VALLEJO,,,,,,,POINT (-122.44003 37.794594),102,102,4,6,30
OCTAVIA,GREEN,SE,NB,0,26576000,OCTAVIA ST & GREEN ST,,,,,,,POINT (-122.42871 37.796986),102,102,4,6,13
BUCHANAN,CLAY,SE,NB,0,26563000,BUCHANAN & CLAY,,,,,,,POINT (-122.4309 37.791126),102,102,4,6,30
SACRAMENTO,BUCHANAN,NE,WB,,26561000,SACRAMENTO ST & BUCHANAN ST,,,,,,,POINT (-122.430725 37.79025),102,102,4,6,30
BUCHANAN,SACRAMENTO,NW,SB,0,26561000,BUCHANAN & SACRAMENTO,,,,,,,POINT (-122.430725 37.79025),102,102,4,6,30
CLAY,FILLMORE,NE,WB,0,26648000,CLAY ST & FILLMORE,,,,,,,POINT (-122.43419 37.790707),102,102,4,6,30
BAKER,GREEN,SE,NB,0,26889000,BAKER ST & GREEN ST,,,,,,,POINT (-122.44521 37.79489),102,102,4,6,30
BRODERICK,GREEN,SE,NB,,26878000,BRODERICK ST & GREEN ST,,,,,,,POINT (-122.44356 37.7951),102,102,4,6,30
JACKSON ST,BUCHANAN,SW,EB,0,26566000,JACKSON ST & BUCHANAN,,,,,,,POINT (-122.43125 37.792885),102,102,4,6,30
SCOTT,JACKSON,NW,SB,0,26853000,SCOTT & JACKSON,,,,,,,POINT (-122.439476 37.79184),102,102,4,6,30
SACRAMENTO,BRODERICK,SW,EB,,26823000,SACRAMENTO ST & BRODERICK ST,,,,,,,POINT (-122.44228 37.788776),102,102,8,6,30
CLAY,BRODERICK,NE,WB,0,26854000,CLAY ST & BRODERICK,,,,,,,POINT (-122.44247 37.789658),102,102,8,6,30
PIERCE,SACRAMENTO,NW,SB,0,26638000,PIERCE ST & SACRAMENTO ST,,,,I,,,POINT (-122.4373 37.789417),102,102,4,6,30
VALLEJO,SCOTT,NE,WB,,26869000,VALLEJO & SCOTT,,,,,,,POINT (-122.44003 37.794594),102,102,4,6,30
WEBSTER,JACKSON,SE,NB,0,26650000,WEBSTER & JACKSON,,,,,,,POINT (-122.43291 37.792675),102,102,4,6,30
BRODERICK,WASHINGTON,NW,SB,0,26860000,BRODERICK ST & WASHINGTON ST,,,,,,,POINT (-122.44264 37.790535),102,102,8,6,30
OCTAVIA,SACRAMENTO,SE,NB,0,26557000,OCTAVIA ST & SACRAMENTO ST,,,,I,,,POINT (-122.42744 37.79066),102,102,4,6,30
STEINER,CLAY,NW,SB,,26636000,STEINER ST & CLAY ST,,,,I,,,POINT (-122.43584 37.790497),102,102,4,6,30
WASHINGTON,BAKER,NE,WB,0,26862000,WASHINGTON ST & BAKER,,,,,,,POINT (-122.44429 37.79032),102,102,8,6,30
FILLMORE,GREEN,NW,SB,0,26664000,FILLMORE ST & GREEN ST,,,,,,,POINT (-122.43529 37.796154),102,102,4,6,13
BAKER,VALLEJO,SW,EB,,26888000,BAKER ST & VALLEJO ST,,,,,,,POINT (-122.44502 37.793957),102,102,4,6,30
WEBSTER,VALLEJO,,SB,,26662000,WEBSTER & VALLEJO,,,,,,,POINT (-122.43346 37.79543),102,102,4,6,30
DIVISADERO,VALLEJO,SE,NB,0,26876000,DIVISADERO ST & VALLEJO ST,,,,,,,POINT (-122.441696 37.79438),102,102,4,6,30
DIVISADERO,WASHINGTON,NW,SB,0,26851000,DIVISADERO ST & WASHINGTON ST,,,,,,,POINT (-122.44097 37.790752),102,102,4,6,30
BAKER,WASHINGTON,SE,NB,,26862000,BAKER ST & WASHINGTON ST,,,,,,,POINT (-122.44429 37.79032),102,102,8,6,30
PIERCE,JACKSON,NW,SB,0,26673000,PIERCE & JACKSON ST,,,,,,,POINT (-122.437836 37.79205),102,102,4,6,30
WEBSTER,GREEN,NW,SB,0,26661000,WEBSTER & GREEN,,,,,,,POINT (-122.43365 37.79636),102,102,4,6,13
LYON,JACKSON,SE,NB,,26885000,LYON ST & JACKSON ST,,,,I,,,POINT (-122.446106 37.790993),102,102,8,6,30
DIVISADERO,BROADWAY,NW,SB,0,26864000,DIVISADERO ST & BROADWAY,,,,,,,POINT (-122.441505 37.79343),102,102,4,6,30
BROADWAY,STEINER,SW,EB,0,26671000,BROADWAY & STEINER,,,,,,,POINT (-122.436554 37.794052),102,102,4,6,30
PIERCE,GREEN,NW,SB,0,26680000,PIERCE ST & GREEN ST,,,,,,,POINT (-122.438576 37.795734),102,102,4,6,30
LYON,CLAY,NW,SB,0,26848000,LYON ST & CLAY ST,,,,I,,,POINT (-122.44575 37.78924),102,102,8,6,30
PACIFIC,BRODERICK,NE,WB,0,26865000,PACIFIC & BRODERICK,,,,,,,POINT (-122.44299 37.792294),102,102,8,6,30
WASHINGTON,DIVISADERO,NE,WB,0,26851000,WASHINGTON ST & DIVISADERO,,,,,,,POINT (-122.44097 37.790752),102,102,4,6,30
JACKSON ST,SCOTT,NE,WB,0,26853000,JACKSON ST & SCOTT,,,,,,,POINT (-122.439476 37.79184),102,102,4,6,30
SACRAMENTO,PIERCE,NE,WB,,26638000,SACRAMENTO ST & PIERCE ST,,,,I,,,POINT (-122.4373 37.789417),102,102,4,6,30
VALLEJO,SCOTT,SW,EB,0,26869000,VALLEJO & SCOTT,,,,,,,POINT (-122.44003 37.794594),102,102,4,6,30
STEINER,VALLEJO,SE,NB,0,26678000,STEINER ST & VALLEJO ST,,,,I,,,POINT (-122.436745 37.79501),102,102,4,6,30
BRODERICK,CLAY,NW,SB,0,26854000,BRODERICK ST & CLAY ST,,,,,,,POINT (-122.44247 37.789658),102,102,8,6,30
PACIFIC,PIERCE,NE,WB,0,26675000,PACIFIC & PIERCE,,,,,,,POINT (-122.43801 37.792923),102,102,4,6,30
GREEN,BAKER,NE,WB,0,26889000,GREEN & BAKER,,,,,,,POINT (-122.44521 37.79489),102,102,4,6,30
WEBSTER,WASHINGTON,NW,SB,0,26651000,WEBSTER & WASHINGTON,,,,,,,POINT (-122.432724 37.791794),102,102,4,6,30
SACRAMENTO,LAGUNA,SW,EB,0,26556000,SACRAMENTO ST & LAGUNA ST,,,,,,,POINT (-122.42908 37.790455),102,102,4,6,30
JACKSON ST,FILLMORE,SW,EB,0,26653000,JACKSON ST & FILLMORE,,,,,,,POINT (-122.43455 37.792465),102,102,4,6,30
VALLEJO,BRODERICK,NE,WB,0,26877000,VALLEJO & BRODERICK,,,,,,,POINT (-122.443375 37.794167),102,102,4,6,30
LAGUNA ST,BROADWAY,SE,NB,0,26578000,LAGUNA ST & BROADWAY,,,,,,,POINT (-122.42998 37.79489),102,102,4,6,30
CLAY,BAKER,SW,EB,0,26841000,CLAY ST & BAKER,,,,,,,POINT (-122.44411 37.78945),102,102,8,6,30
LAGUNA ST,VALLEJO,NW,SB,0,26574000,LAGUNA ST & VALLEJO,,,,,,,POINT (-122.43017 37.79585),102,102,4,6,30
GREEN,FILLMORE,SW,EB,0,26664000,GREEN & FILLMORE,,,,,,,POINT (-122.43529 37.796154),102,102,4,6,13
BRODERICK,VALLEJO,NW,SB,0,26877000,BRODERICK ST & VALLEJO ST,,,,,,,POINT (-122.443375 37.794167),102,102,4,6,30
GREEN,STEINER,SW,EB,0,26679000,GREEN & STEINER,,,,,,,POINT (-122.436935 37.795944),102,102,4,6,13
BAKER,CLAY,SE,NB,0,26841000,BAKER ST & CLAY ST,,,,,,,POINT (-122.44411 37.78945),102,102,8,6,30
BAKER,CLAY,NW,SB,0,26841000,BAKER ST & CLAY ST,,,,,,,POINT (-122.44411 37.78945),102,102,8,6,30
WASHINGTON,LYON,NE,WB,0,26884000,WASHINGTON ST & LYON,,,,,,,POINT (-122.44592 37.790115),102,102,8,6,30
ORBEN,CALIFORNIA,SE,NB,0,26610000,ORBEN & CALIFORNIA,,,,,,,POINT (-122.43301 37.789005),102,102,4,6,30
VALLEJO,GOUGH,NE,WB,0,26572000,VALLEJO & GOUGH,,,,,,,POINT (-122.42688 37.79627),102,102,4,6,30
BROADWAY,DIVISADERO,NE,WB,0,26864000,BROADWAY & DIVISADERO,,,,,,,POINT (-122.441505 37.79343),102,102,4,6,30
LAGUNA,CLAY,NW,NB,,26557000,LAGUNA ST & CLAY ST,,,,I,,,POINT (-122.42926 37.791332),102,102,4,6,30
GREEN,BUCHANAN,SW,EB,,26581000,GREEN & BUCHANAN,,,,,,,POINT (-122.432 37.79657),102,102,4,6,13
SACRAMENTO,STEINER,NE,WB,0,26637000,SACRAMENTO ST & STEINER ST,,,,,,,POINT (-122.43566 37.789623),102,102,4,6,30
BAKER,POST,NW,SB,,26814000,BAKER ST & POST ST,20170321000000,,170321-030,I,17-4595,,POINT (-122.44298 37.783894),103,103,8,6,15
BRODERICK,SUTTER,SE,NB,0,26809000,BRODERICK ST & SUTTER ST,,,,,,,POINT (-122.44152 37.78503),103,103,8,11,15
SUTTER,BAKER,NE,WB,0,26815000,SUTTER & BAKER,,,,,,,POINT (-122.44317 37.78482),103,103,8,11,15
SCOTT,SUTTER,SE,NB,0,26625000,SCOTT & SUTTER,,,,,,,POINT (-122.438194 37.785454),103,103,4,11,15
PIERCE,POST,NW,SB,0,26615000,PIERCE ST & POST ST,,,,,,,POINT (-122.436356 37.784733),103,103,4,11,15
POST,LYON,NE,WB,0,26831000,POST & LYON,,,,,,,POINT (-122.44463 37.78368),103,103,8,6,31
BRODERICK,POST ST,NW,SB,,26806000,BRODERICK ST & POST ST,20170321000000,,170321-030,I,17-4595,,POINT (-122.44134 37.784103),103,103,8,11,15
BAKER,SUTTER,SE,NB,0,26815000,BAKER ST & SUTTER ST,,,,,,,POINT (-122.44317 37.78482),103,103,8,11,15
LYON,POST,NW,SB,0,26831000,LYON ST & POST ST,,,,I,,,POINT (-122.44463 37.78368),103,103,8,6,31
BAKER,POST,SE,NB,,26814000,BAKER ST & POST ST,20170321000000,,170321-030,I,17-4595,,POINT (-122.44298 37.783894),103,103,8,6,15
LYON,GEARY,SE,NB,0,26829000,LYON ST & GEARY BLVD,,,,I,,,POINT (-122.44444 37.78277),103,103,8,6,31
SUTTER,BRODERICK,SW,EB,0,26809000,SUTTER & BRODERICK,,,,,,,POINT (-122.44152 37.78503),103,103,8,11,15
POST,BRODERICK ST,SW,EB,<Null>,26806000,POST ST & BRODERICK ST,20170321000000,,170321-030,I,17-4595,,POINT (-122.44134 37.784103),103,103,8,11,15
LYON,POST,SE,NB,0,26831000,LYON ST & POST ST,,,,I,,,POINT (-122.44463 37.78368),103,103,8,6,31
SUTTER,PIERCE,NE,WB,,26626000,SUTTER & PIERCE,,,,,,,POINT (-122.43655 37.785664),103,103,4,11,15
LYON,SUTTER,NW,SB,0,26832000,LYON ST & SUTTER ST,,,,I,,,POINT (-122.44482 37.78461),103,103,8,11,31
SUTTER,SCOTT,SW,EB,0,26625000,SUTTER & SCOTT,,,,,,,POINT (-122.438194 37.785454),103,103,4,11,15
SUTTER,LYON,SW,EB,,26832000,SUTTER & LYON,,,,,,,POINT (-122.44482 37.78461),103,103,8,11,31
SUTTER,BRODERICK,NE,WB,0,26809000,SUTTER & BRODERICK,,,,,,,POINT (-122.44152 37.78503),103,103,8,11,15
BRODERICK,GEARY,SE,NB,0,26803000,BRODERICK ST & GEARY BLVD,,,,,,,POINT (-122.44115 37.783157),103,103,8,11,39
STEINER,SUTTER,NW,SB,0,26628000,STEINER ST & SUTTER ST,,,,I,,,POINT (-122.434906 37.78587),103,103,4,11,15
LYON,GEARY,NW,SB,0,26829000,LYON ST & GEARY BLVD,,,,I,,,POINT (-122.44444 37.78277),103,103,8,6,31
STEINER,SUTTER,SE,NB,0,26628000,STEINER ST & SUTTER,,,,I,,,POINT (-122.434906 37.78587),103,103,4,11,15
POST,LYON,SW,EB,0,26831000,POST & LYON,,,,,,,POINT (-122.44463 37.78368),103,103,8,6,31
SUTTER,STEINER,SW,EB,0,26628000,SUTTER & STEINER,,,,,,,POINT (-122.434906 37.78587),103,103,4,11,15
SUTTER,STEINER,NE,WB,0,26628000,SUTTER & STEINER,,,,,,,POINT (-122.434906 37.78587),103,103,4,11,15
